Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Memphis Grizzlies,82,19780,.436,11.6,.832,.288,.176,.135,.233,.168,.462,.622,.362,.370,.394,.307,.613,.075,445,.188,640,.723,.215,.352,11,0
Miami Heat,82,19930,.439,12.9,.859,.238,.134,.164,.323,.141,.454,.638,.389,.370,.388,.347,.556,.047,267,.174,642,.894,.305,.416,19,1
Milwaukee Bucks,82,19905,.462,13.1,.759,.237,.126,.236,.160,.241,.490,.571,.466,.466,.425,.375,.550,.036,215,.179,635,.841,.268,.399,18,0
Minnesota Timberwolves,82,19805,.461,12.4,.848,.236,.175,.151,.286,.152,.476,.629,.420,.426,.409,.378,.604,.037,235,.172,669,.793,.211,.398,9,0
New Jersey Nets,82,19830,.446,11.6,.825,.327,.135,.133,.230,.175,.469,.610,.382,.361,.383,.338,.620,.077,463,.217,800,.876,.193,.364,18,0
New York Knicks,82,19805,.432,12.5,.794,.246,.159,.190,.198,.206,.453,.556,.419,.403,.399,.353,.566,.021,124,.202,704,.829,.271,.354,5,1
Orlando Magic,82,19830,.448,12.9,.759,.294,.113,.109,.242,.241,.471,.610,.377,.369,.394,.373,.519,.046,275,.215,829,.845,.192,.417,7,0
Philadelphia 76ers,82,19730,.436,10.8,.889,.304,.149,.217,.218,.111,.453,.592,.395,.345,.405,.299,.558,.024,141,.252,915,.897,.238,.406,3,0
Phoenix Suns,82,19830,.447,11.1,.842,.330,.142,.162,.208,.158,.469,.588,.388,.387,.400,.327,.567,.045,286,.257,959,.796,.219,.313,7,0
Portland Trail Blazers,82,19830,.450,12.4,.802,.307,.123,.117,.255,.198,.474,.612,.361,.397,.397,.354,.602,.068,425,.213,752,.856,.208,.394,11,0
Sacramento Kings,82,19755,.467,11.7,.834,.317,.135,.104,.278,.166,.486,.626,.383,.402,.409,.367,.560,.049,318,.235,971,.866,.317,.399,8,0
San Antonio Spurs,82,19855,.458,11.2,.810,.314,.166,.177,.153,.190,.480,.643,.407,.369,.356,.362,.507,.061,358,.241,870,.886,.364,.440,8,0
Seattle SuperSonics,82,19830,.469,11.8,.807,.280,.190,.121,.216,.193,.490,.636,.387,.393,.446,.378,.560,.047,277,.209,841,.912,.261,.374,8,0
Toronto Raptors,82,19755,.434,12.2,.835,.284,.121,.192,.238,.165,.451,.578,.395,.377,.387,.349,.571,.045,275,.203,703,.858,.214,.418,18,0
Utah Jazz,82,19830,.450,10.7,.868,.380,.102,.124,.261,.132,.468,.584,.300,.369,.411,.333,.678,.048,280,.306,1049,.871,.215,.343,7,0
Washington Wizards,82,19730,.441,12.5,.882,.214,.159,.222,.287,.118,.448,.631,.324,.394,.422,.388,.561,.041,267,.158,580,.784,.168,.439,3,0
