Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Toronto Raptors,25.1,32,50,-3.12,0.57,-2.56,104.6,108.0,90.6,.303,.245,.521,.481,15.2,32.5,.218,.504,15.3,68.6,.258,SkyDome
Los Angeles Clippers,25.5,34,48,-2.35,-0.31,-2.66,105.1,107.6,91.3,.310,.200,.524,.482,14.7,30.8,.227,.499,15.5,68.1,.269,Los Angeles Memorial Sports Arena
Sacramento Kings,27.4,31,51,-3.38,-0.26,-3.64,105.0,108.7,91.0,.313,.160,.526,.485,15.0,32.0,.226,.495,14.3,68.5,.264,ARCO Arena (II)
New Jersey Nets,26.8,28,54,-4.56,0.67,-3.89,104.7,109.7,92.4,.286,.193,.499,.456,13.9,36.4,.212,.503,14.1,69.0,.244,Continental Airlines Arena
Golden State Warriors,26.7,28,54,-4.71,-0.20,-4.90,107.2,112.2,91.9,.332,.208,.543,.493,15.8,32.3,.258,.518,14.4,67.5,.234,San Jose Arena
Philadelphia 76ers,25.5,24,58,-6.54,0.65,-5.89,104.6,111.4,95.3,.358,.198,.518,.470,15.3,34.1,.259,.510,13.8,66.5,.222,CoreStates Center
Denver Nuggets,28.6,24,58,-6.28,-0.12,-6.40,104.5,111.2,92.4,.298,.256,.530,.486,15.2,28.8,.227,.501,11.8,69.3,.206,McNichols Sports Arena
Dallas Mavericks,27.1,23,59,-6.35,-0.12,-6.47,101.1,108.2,89.0,.297,.204,.509,.469,15.4,30.0,.213,.500,14.9,67.3,.229,Reunion Arena
Boston Celtics,26.1,22,60,-7.33,0.71,-6.62,103.9,111.4,95.8,.316,.191,.520,.474,14.5,29.4,.237,.539,15.8,68.5,.243,FleetCenter
San Antonio Spurs,29.9,19,63,-7.88,-0.05,-7.93,103.3,112.3,87.3,.302,.185,.512,.472,14.7,32.4,.217,.514,14.0,67.0,.236,Alamodome
Vancouver Grizzlies,25.0,15,67,-10.23,0.06,-10.17,100.3,111.8,88.4,.269,.197,.507,.471,15.3,29.7,.191,.510,14.4,64.1,.224,General Motors Place
