Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Atlanta Hawks,27.4,39,43,-0.82,-0.28,-1.10,106.1,107.0,89.3,.269,.222,.542,.501,13.5,23.4,.209,.495,12.3,74.6,.211,Philips Arena
Indiana Pacers,25.9,38,44,-1.07,-0.30,-1.38,104.8,106.0,94.7,.300,.244,.533,.486,14.1,25.9,.235,.487,12.8,74.1,.237,Conseco Fieldhouse
Utah Jazz,26.8,36,46,-1.83,0.39,-1.44,108.1,110.1,91.0,.313,.191,.544,.498,13.5,27.0,.241,.505,13.8,71.7,.275,EnergySolutions Arena
Golden State Warriors,25.2,35,47,-2.33,0.33,-2.00,108.2,110.7,94.8,.241,.248,.544,.510,13.3,26.7,.183,.509,14.5,69.3,.259,Oracle Arena
Los Angeles Clippers,24.6,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,.332,.230,.535,.496,15.1,28.4,.234,.499,12.8,73.2,.250,STAPLES Center
Detroit Pistons,27.2,31,51,-3.60,-0.18,-3.78,107.7,111.7,89.2,.279,.189,.533,.495,12.5,27.4,.206,.526,13.8,72.1,.235,The Palace of Auburn Hills
Charlotte Bobcats,26.9,29,53,-4.00,-0.08,-4.08,103.4,107.8,89.6,.314,.189,.528,.482,14.1,25.7,.237,.500,12.9,75.2,.229,Time Warner Cable Arena
Sacramento Kings,24.8,27,55,-5.34,0.54,-4.80,103.5,109.0,95.2,.284,.183,.519,.480,14.4,29.9,.208,.513,13.5,74.4,.233,Power Balance Pavilion
Minnesota Timberwolves,23.8,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,.282,.223,.526,.483,15.1,29.6,.217,.514,13.1,73.7,.251,Target Center
New Jersey Nets,24.8,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,.283,.201,.517,.474,13.4,26.1,.215,.503,11.8,74.2,.241,Prudential Center
Toronto Raptors,24.5,24,58,-6.28,0.01,-6.28,106.1,112.9,92.9,.293,.162,.533,.491,13.7,28.2,.221,.522,13.0,72.0,.251,Air Canada Centre
Washington Wizards,24.9,22,60,-7.40,0.11,-7.30,102.4,110.2,93.8,.290,.172,.513,.471,13.9,28.0,.216,.512,14.4,70.5,.249,Verizon Center
Cleveland Cavaliers,26.6,18,64,-9.01,0.14,-8.88,102.2,111.8,93.0,.312,.224,.518,.472,13.4,24.2,.233,.524,12.7,73.3,.211,Quicken Loans Arena
