Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Miami Heat,29.3,38,44,-0.91,-0.29,-1.21,104.3,105.3,89.9,.321,.245,.541,.506,14.3,24.9,.222,.485,13.8,73.3,.232,AmericanAirlines Arena
Sacramento Kings,27.3,36,46,-1.80,0.46,-1.35,106.2,108.0,94.8,.379,.232,.545,.491,13.5,23.1,.289,.513,14.9,72.5,.240,ARCO Arena (II)
Seattle SuperSonics,25.9,33,49,-2.89,0.45,-2.45,107.2,110.3,91.8,.288,.219,.544,.499,14.5,27.8,.228,.515,14.1,70.9,.243,KeyArena at Seattle Center
Indiana Pacers,27.2,34,48,-2.44,-0.18,-2.62,102.9,105.5,92.4,.324,.212,.523,.474,15.1,28.4,.246,.491,14.8,72.7,.271,Conseco Fieldhouse
New York Knicks,25.4,33,49,-2.85,-0.21,-3.06,105.7,108.8,90.8,.377,.216,.539,.494,15.9,31.0,.270,.504,13.0,74.0,.246,Madison Square Garden (IV)
Minnesota Timberwolves,27.7,30,52,-3.67,0.51,-3.16,103.9,107.9,91.0,.291,.167,.537,.490,14.8,25.1,.231,.498,13.3,72.1,.226,Target Center
Philadelphia 76ers,26.2,32,50,-3.02,-0.23,-3.26,103.6,106.9,90.7,.333,.128,.530,.480,14.6,27.2,.255,.501,14.7,70.8,.221,Wachovia Center
Boston Celtics,23.5,31,51,-3.41,-0.29,-3.70,103.2,106.9,92.0,.337,.199,.530,.479,15.4,27.0,.259,.502,14.5,73.8,.280,TD Banknorth Garden
Portland Trail Blazers,24.4,29,53,-4.29,0.51,-3.78,105.1,109.9,88.3,.314,.193,.530,.483,14.5,28.2,.241,.508,13.5,73.0,.267,Rose Garden Arena
Charlotte Bobcats,25.5,30,52,-3.74,-0.22,-3.97,103.6,107.6,92.0,.322,.193,.524,.480,13.9,26.4,.236,.500,14.7,71.6,.279,Charlotte Bobcats Arena
Milwaukee Bucks,26.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,92.3,.286,.219,.541,.504,14.1,27.6,.209,.522,14.5,68.1,.234,Bradley Center
Memphis Grizzlies,26.2,27,55,-5.15,0.71,-4.44,106.9,112.3,93.6,.374,.211,.555,.504,15.2,25.9,.285,.529,14.0,71.1,.237,FedEx Forum
Atlanta Hawks,24.1,27,55,-4.76,-0.10,-4.86,103.0,108.3,90.0,.346,.163,.523,.471,15.1,29.2,.263,.503,14.5,70.9,.268,Philips Arena
